x,y
-707578.566331751644611,-1083344.527520250529051
-706818.148025982081890,-1083270.119619462639093
-706537.957242503762245,-1083132.983825352042913
-709039.197828203439713,-1088314.452331949025393
-709217.260185461491346,-1087788.871379271149635
-709219.084471765905619,-1087455.335544586181641
-709212.485993105918169,-1087370.913015726953745
-709125.520604368299246,-1086892.403958208858967
-709148.075781963765621,-1086221.408161174505949
-708629.742905441671610,-1085704.770699191838503
-708430.194936357438564,-1085319.176435444504023
-708316.005475323647261,-1085141.421763885766268
-708192.205463800579309,-1084949.105980265885592
-708109.402213856577873,-1084843.370367083698511
-707965.524051751941442,-1084167.542228240519762
-713945.457021158188581,-1089555.804684597998857
-713795.277937956154346,-1089696.789169255644083
-713481.536840755492449,-1090045.721861593425274
-712296.431249417364597,-1090915.915857877582312
-711720.191994752734900,-1091157.682425558567047
-711182.007453653961420,-1091127.223113257437944
-710891.471306171268225,-1091242.129750885069370
-710429.353060327470303,-1091864.495142634958029
-709849.061853967607021,-1092253.765394795686007
-709576.149531044065952,-1092397.246114995330572
-709245.472274594008923,-1092585.363263610750437
-706105.027926761657000,-1090095.530972015112638
-706245.084115639328957,-1089821.491806980222464
-706337.540873326361179,-1089182.299395341426134
-706310.322214346379042,-1088666.985051702708006
-706462.720057170838118,-1088265.340316474437714
-706320.188238263130188,-1087830.521580055356026
-706321.331844177097082,-1087785.917806133627892
-706424.218308769166470,-1087586.369487807154655
-706216.445422563701868,-1087504.449480913579464
-706055.058163195848465,-1087279.305798850953579
-705852.009527172893286,-1087239.324469912797213
-705780.210144504904747,-1087023.332778390496969
-705685.435965213924646,-1086838.648019127547741
-705668.466103725135326,-1086697.941534258425236
-705790.911739394068718,-1086374.899143870919943
-705760.290726214647293,-1086133.178676661103964
-705403.759489394724369,-1085489.100313957780600
-715331.049703985452652,-1100245.366827923804522
-715488.998636815696955,-1100178.150949314236641
-715462.201517716050148,-1100006.596790630370378
-715410.801766544580460,-1099534.765315983444452
-715520.455046348273754,-1099261.501826241612434
-715616.549550015479326,-1099106.113914079964161
-715582.369021948426962,-1098946.704085372388363
-715279.954320669174194,-1098299.993281200528145
-715253.326760485768318,-1098053.722837544977665
-715437.850517362356186,-1097045.692110493779182
-715855.669706385582685,-1096074.674820162355900
-715900.345948845148087,-1095890.234882321208715
